Commodity,Arrival Date,Variety,State,District,Market,Min Price,Max Price,Avg price,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Hardoi,Sandila,7500,7600,7550,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Sitapur,Sitapur,7100,7700,7600,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Punjab,Ludhiana,Doraha,5500,8000,7554,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,6500,6650,6600,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Mainpuri,Ghiraur,7500,7700,7600,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Unnao,Purwa,7250,7400,7320,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Kaithal,Pundri,3500,4000,3750,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Badaun,Wazirganj,7500,7600,7550,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,West Bengal,North 24 Parganas,Habra,9500,9600,9600,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Jhansi,Jhansi,7800,8000,7900,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Pratapgarh,Pratapgarh,7200,7450,7280,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),800,4800,4800,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Uttar Pradesh,Jhansi,Mauranipur,7700,7850,7780,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Punjab,Hoshiarpur,Mukerian,8000,9500,8500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Chattisgarh,Bilaspur,Tiphra,5000,5300,5200,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Jammu and Kashmir,Jammu,Narwal Jammu (F&V),7000,10000,8500,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Muradabad,Muradabad,7880,7920,7900,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Jammu and Kashmir,Srinagar,Parimpore,1200,1400,1300,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Odisha,Bargarh,Sohela,12000,14000,13000,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Kanpur,Uttaripura,6925,7100,7025,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Rampur,Rampur,7480,7550,7500,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Haryana,Panipat,Samalkha,4000,4000,4000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Gujarat,Banaskanth,Deesa(Deesa Veg Yard),9000,10000,9500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Jind,Narwana,4000,5000,4500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Kerala,Alappuzha,Kayamkulam,9900,10100,10000,,,,,,,,,,,,,,
Tomato,18/07/2023,Sankar,Uttar Pradesh,Khiri (Lakhimpur),Maigalganj,7530,7600,7570,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Gujarat,Kachchh,Bhuj,12000,13500,12750,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Rajasthan,Jaipur,Jaipur(Bassi),6000,6400,6200,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",8000,9000,8500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Raebarelli,Raibareilly,7300,7400,7350,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Mahendragarh-Narnaul,Narnaul,8000,9000,9000,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,West Bengal,Darjeeling,Siliguri,13000,14000,13500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Panchkula,Barwala,5000,7000,6000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Panchkula,Panchkul(Kalka),8500,9500,9000,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Uttar Pradesh,Shahjahanpur,Tilhar,6000,6500,6250,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Jaunpur,Jaunpur,7250,7350,7300,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Panipat,Panipat,2000,6500,3900,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Maharashtra,Pune,Pune(Khadiki),3500,6000,4550,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Ballia,Ballia,6650,6740,6700,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Karnataka,Chikmagalur,Chikkamagalore,7678,7878,7778,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Jhansi,Chirgaon,7800,8000,7950,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Kerala,Kollam,Sasthamkotta,13000,13500,13200,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Mathura,Mathura,7400,8000,7800,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),10000,10500,10000,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Gujarat,Surendranagar,Vadhvan,10000,11000,10500,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Madhya Pradesh,Khargone,Khargone,1000,3500,2000,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Punjab,Hoshiarpur,Garh Shankar,4000,6500,4500,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Kerala,Kozhikode(Calicut),Mukkom,8000,9000,8500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Telangana,Adilabad,Adilabad(Rythu Bazar),13000,14000,13000,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Mirzapur,Mirzapur,7185,7300,7225,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Punjab,Amritsar,Rayya,2500,2500,2500,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Haryana,Ambala,Naraingarh,3000,3600,3200,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Madhya Pradesh,Seoni,Seoni,5000,5800,5400,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Telangana,Adilabad,Mancharial,9800,9800,9800,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Uttrakhand,Haridwar,Manglaur,4300,4500,4400,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Maharashtra,Ahmednagar,Rahata,2000,7000,4500,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Maharashtra,Pune,Pune(Pimpri),7000,7000,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Gurgaon,Pataudi,3000,10000,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Uttrakhand,UdhamSinghNagar,Rudrapur,10000,11000,10500,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Pillibhit,Vishalpur,7340,7650,7500,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Nagaland,Kiphire,Kipheri,3530,3720,3640,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,West Bengal,Birbhum,Birbhum,12000,13000,12050,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,West Bengal,Bankura,Khatra,13000,14500,14000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Rajasthan,Jaipur,Jaipur(F&V),5000,9000,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Chamba,Chamba,11000,12000,11500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Bahraich,Naanpara,8200,8285,8250,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Raebarelli,Jayas,7200,7300,7250,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Kerala,Malappuram,Kondotty,9000,9200,9100,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,West Bengal,North 24 Parganas,Barasat,9000,9000,9000,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Ballia,Chitwadagaon,6630,6760,6690,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Himachal Pradesh,Kangra,Palampur,4500,10000,7250,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,West Bengal,Puruliya,Purulia,8000,9000,8500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Maharashtra,Nagpur,Kalmeshwar,9055,10000,9545,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Telangana,Ranga Reddy,"Ramakrisnapuram,RBZ",7500,7500,7500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Shahjahanpur,Puwaha,7450,7650,7550,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Kerala,Kollam,Anchal,9500,9700,9600,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Kullu,Bhuntar,4000,7500,5700,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Gujarat,Morbi,Vankaner(Sub yard),10000,11500,11000,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Tripura,Gomati,Nutanbazar,18500,20000,19500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Gautam Budh Nagar,Dadri,7000,7300,7100,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Karnataka,Bangalore,Ramanagara,7000,9000,8000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Fatehabad,Ratia,4000,4000,4000,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Etawah,Etawah,6500,7350,7050,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Karnataka,Chamrajnagar,Chamaraj Nagar,2000,7500,5500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Sitapur,Viswan,7530,7630,7580,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Jammu and Kashmir,Jammu,Akhnoor,7000,7400,7200,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Gujarat,Dahod,Dahod(Veg. Market),3000,10500,5000,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Maharashtra,Nagpur,Kamthi,7000,9000,8000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Sirmore,Paonta Sahib,3000,5000,4000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Sirmore,Nahan,6000,8000,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Maharashtra,Pune,Khed(Chakan),6000,9000,7500,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Allahabad,Ajuha,7140,7300,7200,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Balrampur,Tulsipur,7400,7500,7450,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Hissar,Barwala(Hisar),5000,5000,5000,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Allahabad,Jasra,7200,7360,7275,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Hamirpur,Maudaha,8400,8500,8450,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Uttrakhand,Dehradoon,Rishikesh,6000,7500,7150,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Agra,Agra,7500,8000,7700,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Ambedkarnagar,Akbarpur,7500,7880,7850,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Hissar,Hansi,6000,8000,8000,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Farukhabad,Farukhabad,6850,7100,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Panipat,Madlauda,3500,7000,5250,,,,,,,,,,,,,,
